Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44 - 59 (Gen X),Leave,Travel_Frequently,1000 - 1099 ($),Sales,5-9 km,Bachelor,Life Sciences,High,Male,80 - 89 ($),Low,Senior Level,Sales Executive,High,Married,12000 - 12999 ($),24000 - 25999 ($),4-5,No,11%,Excellent,High,0%,20+ years,3,Bad,10++,2-5 years,10++,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,College,Other,High,Male,70 - 79 ($),High,Entry Level,Laboratory Technician,Very High,Divorced,1000 - 1999 ($),10000 - 11999 ($),0-1,No,12%,Excellent,High,1%,0-5 years,3,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1000 - 1099 ($),Research & Development,0-4 km,Master,Medical,Low,Male,30 - 39 ($),High,Entry Level,Research Scientist,Very High,Married,4000 - 4999 ($),26000 - 27999 ($),4-5,Yes,14%,Excellent,Medium,3%,0-5 years,3,Best,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Frequently,300 - 399 ($),Research & Development,10-14 km,Below College,Other,High,Female,80 - 89 ($),High,Mid Level,Healthcare Representative,Very High,Single,7000 - 7999 ($),22000 - 23999 ($),0-1,Yes,12%,Excellent,Low,0%,6-10 years,1,Better,6-10 years,6-10 years,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1400 - 1499 ($),Sales,0-4 km,Bachelor,Life Sciences,High,Male,60 - 69 ($),High,Mid Level,Sales Executive,Very High,Married,9000 - 9999 ($),24000 - 25999 ($),2-3,Yes,13%,Excellent,Very High,3%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,Master,Medical,High,Female,90 - 100 ($),High,Junior Level,Manufacturing Director,Low,Married,6000 - 6999 ($),12000 - 13999 ($),0-1,No,12%,Excellent,High,1%,6-10 years,2,Best,6-10 years,6-10 years,6-10 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,1300 - 1399 ($),Sales,20-24 km,College,Marketing,Medium,Female,70 - 79 ($),High,Entry Level,Sales Representative,Medium,Single,3000 - 3999 ($),20000 - 21999 ($),0-1,Yes,22%,Outstanding,Very High,0%,0-5 years,5,Good,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,800 - 899 ($),Research & Development,0-4 km,Master,Medical,High,Male,40 - 49 ($),High,Entry Level,Research Scientist,High,Single,4000 - 4999 ($),16000 - 17999 ($),4-5,No,17%,Excellent,Very High,0%,20+ years,3,Good,2-5 years,2-5 years,2-5 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Frequently,400 - 499 ($),Research & Development,0-4 km,Master,Life Sciences,High,Male,80 - 89 ($),High,Junior Level,Research Scientist,High,Single,4000 - 4999 ($),2000 - 3999 ($),0-1,Yes,11%,Excellent,Medium,0%,6-10 years,3,Better,6-10 years,6-10 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Frequently,900 - 999 ($),Research & Development,0-4 km,Below College,Life Sciences,Low,Male,80 - 89 ($),High,Junior Level,Healthcare Representative,Very High,Divorced,8000 - 8999 ($),24000 - 25999 ($),0-1,No,19%,Excellent,Very High,1%,6-10 years,0,Best,6-10 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,700 - 799 ($),Research & Development,0-4 km,Master,Medical,Very High,Male,40 - 49 ($),High,Entry Level,Laboratory Technician,High,Single,2000 - 2999 ($),6000 - 7999 ($),0-1,Yes,11%,Excellent,High,0%,20+ years,2,Good,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Frequently,1100 - 1199 ($),Research & Development,5-9 km,Master,Life Sciences,Low,Male,70 - 79 ($),Very High,Junior Level,Manufacturing Director,High,Married,6000 - 6999 ($),4000 - 5999 ($),2-3,No,17%,Excellent,Very High,1%,6-10 years,1,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,25-29 km ,Bachelor,Life Sciences,Medium,Male,90 - 100 ($),High,Junior Level,Manufacturing Director,Medium,Married,4000 - 4999 ($),10000 - 11999 ($),0-1,No,13%,Excellent,Very High,1%,6-10 years,3,Good,6-10 years,6-10 years,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Non-Travel,700 - 799 ($),Sales,0-4 km,Bachelor,Life Sciences,Very High,Male,60 - 69 ($),High,Junior Level,Sales Executive,High,Married,4000 - 4999 ($),16000 - 17999 ($),0-1,No,14%,Excellent,Low,1%,0-5 years,3,Good,2-5 years,2-5 years,0-1 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Rarely,500 - 599 ($),Research & Development,0-4 km,College,Life Sciences,High,Male,50 - 59 ($),High,Entry Level,Research Scientist,Very High,Single,2000 - 2999 ($),8000 - 9999 ($),0-1,Yes,20%,Outstanding,Medium,0%,6-10 years,2,Good,6-10 years,2-5 years,2-5 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,1400 - 1499 ($),Sales,25-29 km ,Bachelor,Life Sciences,Low,Female,90 - 100 ($),High,Mid Level,Sales Executive,Low,Single,7000 - 7999 ($),2000 - 3999 ($),4-5,No,11%,Excellent,Very High,0%,20+ years,3,Good,10++,10++,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,600 - 699 ($),Research & Development,25-29 km ,Below College,Life Sciences,Low,Male,30 - 39 ($),High,Entry Level,Research Scientist,High,Divorced,2000 - 2999 ($),14000 - 15999 ($),0-1,No,17%,Excellent,Very High,1%,20+ years,1,Good,2-5 years,2-5 years,2-5 years,2-5 years
12 - 27 (Gen Z),Leave,Non-Travel,1400 - 1499 ($),Research & Development,10-14 km,Bachelor,Medical,Medium,Female,30 - 39 ($),High,Entry Level,Research Scientist,High,Single,1000 - 1999 ($),8000 - 9999 ($),0-1,No,16%,Excellent,High,0%,0-5 years,4,Bad,0-1 years,0-1 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,300 - 399 ($),Research & Development,0-4 km,Bachelor,Medical,Very High,Male,30 - 39 ($),Medium,Mid Level,Manufacturing Director,High,Married,7000 - 7999 ($),18000 - 19999 ($),2-3,Yes,14%,Excellent,High,0%,20+ years,4,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,100 - 199 ($),Research & Development,0-4 km,Master,Life Sciences,Medium,Male,70 - 79 ($),Very High,Junior Level,Healthcare Representative,Low,Married,5000 - 5999 ($),8000 - 9999 ($),2-3,No,15%,Excellent,Very High,1%,6-10 years,5,Better,2-5 years,0-1 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Research & Development,15-19 km,Below College,Life Sciences,High,Female,60 - 69 ($),Medium,Mid Level,Healthcare Representative,High,Married,8000 - 8999 ($),24000 - 25999 ($),0-1,No,18%,Excellent,Low,1%,10-20 years,4,Good,10++,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,0-4 km,Below College,Medical,Medium,Male,30 - 39 ($),Medium,Entry Level,Laboratory Technician,Very High,Single,2000 - 2999 ($),10000 - 11999 ($),0-1,No,13%,Excellent,Very High,0%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Frequently,200 - 299 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Low,Male,80 - 89 ($),High,Senior Level,Healthcare Representative,Very High,Divorced,12000 - 12999 ($),12000 - 13999 ($),4-5,No,11%,Excellent,Very High,3%,20+ years,4,Better,10++,6-10 years,10++,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,100 - 199 ($),Research & Development,0-4 km,Master,Medical,Low,Male,70 - 79 ($),Medium,Entry Level,Research Scientist,Very High,Single,4000 - 4999 ($),12000 - 13999 ($),0-1,Yes,14%,Excellent,High,0%,6-10 years,2,Best,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1000 - 1099 ($),Research & Development,15-19 km,Bachelor,Life Sciences,Very High,Female,90 - 100 ($),Medium,Mid Level,Healthcare Representative,Medium,Single,8000 - 8999 ($),20000 - 21999 ($),0-1,No,19%,Excellent,Very High,0%,10-20 years,3,Bad,10++,6-10 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,600 - 699 ($),Research & Development,0-4 km,Master,Life Sciences,High,Male,40 - 49 ($),Medium,Entry Level,Research Scientist,Very High,Married,2000 - 2999 ($),22000 - 23999 ($),2-3,No,17%,Excellent,Very High,3%,6-10 years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,700 - 799 ($),Research & Development,10-14 km,Bachelor,Life Sciences,Medium,Female,40 - 49 ($),High,Junior Level,Healthcare Representative,Low,Divorced,4000 - 4999 ($),10000 - 11999 ($),2-3,No,12%,Excellent,Medium,1%,10-20 years,3,Better,6-10 years,2-5 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1300 - 1399 ($),Research & Development,0-4 km,College,Other,Very High,Female,50 - 59 ($),Medium,Junior Level,Manufacturing Director,Very High,Divorced,5000 - 5999 ($),4000 - 5999 ($),0-1,No,19%,Excellent,Low,2%,6-10 years,3,Better,6-10 years,6-10 years,2-5 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,400 - 499 ($),Sales,15-19 km,Master,Life Sciences,High,Female,90 - 100 ($),High,Junior Level,Sales Executive,High,Divorced,6000 - 6999 ($),12000 - 13999 ($),4-5,No,14%,Excellent,High,1%,10-20 years,2,Better,6-10 years,6-10 years,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,15-19 km,College,Life Sciences,High,Male,30 - 39 ($),High,Junior Level,Research Scientist,Low,Divorced,3000 - 3999 ($),18000 - 19999 ($),2-3,No,16%,Excellent,Low,2%,10-20 years,2,Good,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Leave,Travel_Rarely,300 - 399 ($),Research & Development,5-9 km,Bachelor,Life Sciences,Low,Male,70 - 79 ($),High,Entry Level,Laboratory Technician,Medium,Single,2000 - 2999 ($),10000 - 11999 ($),2-3,No,11%,Excellent,High,0%,10-20 years,4,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Low,Male,50 - 59 ($),High,Executive Level,Manager,High,Married,18000 - 18999 ($),16000 - 17999 ($),2-3,No,11%,Excellent,Low,0%,20+ years,2,Good,10++,6-10 years,2-5 years,10++
12 - 27 (Gen Z),Leave,Travel_Rarely,400 - 499 ($),Research & Development,20-24 km,Bachelor,Technical Degree,High,Male,60 - 69 ($),Low,Entry Level,Laboratory Technician,Very High,Single,2000 - 2999 ($),22000 - 23999 ($),0-1,Yes,18%,Excellent,Medium,0%,0-5 years,3,Bad,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,500 - 599 ($),Research & Development,25-29 km ,Bachelor,Medical,Medium,Female,30 - 39 ($),Low,Junior Level,Manufacturing Director,Low,Divorced,4000 - 4999 ($),20000 - 21999 ($),0-1,No,21%,Outstanding,Medium,1%,6-10 years,5,Good,2-5 years,2-5 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Frequently,1200 - 1299 ($),Research & Development,0-4 km,Below College,Medical,Medium,Male,30 - 39 ($),High,Entry Level,Research Scientist,Very High,Single,2000 - 2999 ($),8000 - 9999 ($),2-3,Yes,14%,Excellent,Very High,0%,6-10 years,2,Better,2-5 years,0-1 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Human Resources,0-4 km,Bachelor,Human Resources,Very High,Male,50 - 59 ($),Medium,Executive Level,Manager,High,Married,19000 - 19999 ($),18000 - 19999 ($),0-1,No,12%,Excellent,Medium,1%,20+ years,3,Better,10++,6-10 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1300 - 1399 ($),Sales,15-19 km,Below College,Life Sciences,Very High,Male,90 - 100 ($),High,Junior Level,Sales Executive,High,Married,5000 - 5999 ($),2000 - 3999 ($),4-5,No,15%,Excellent,High,2%,0-5 years,2,Good,2-5 years,0-1 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,100 - 199 ($),Research & Development,5-9 km,Bachelor,Medical,High,Male,60 - 69 ($),High,Junior Level,Laboratory Technician,Low,Divorced,3000 - 3999 ($),10000 - 11999 ($),0-1,No,11%,Excellent,High,2%,10-20 years,4,Better,10++,6-10 years,6-10 years,6-10 years
12 - 27 (Gen Z),Leave,Travel_Rarely,400 - 499 ($),Sales,20-24 km,Bachelor,Other,Very High,Male,30 - 39 ($),Medium,Entry Level,Sales Representative,Medium,Single,2000 - 2999 ($),8000 - 9999 ($),0-1,Yes,13%,Excellent,Medium,0%,0-5 years,3,Best,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,500 - 599 ($),Research & Development,25-29 km ,Bachelor,Life Sciences,Very High,Male,40 - 49 ($),Medium,Junior Level,Manufacturing Director,Medium,Single,4000 - 4999 ($),24000 - 25999 ($),0-1,No,13%,Excellent,Very High,0%,20+ years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Rarely,600 - 699 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Medium,Female,70 - 79 ($),High,Entry Level,Research Scientist,High,Single,2000 - 2999 ($),16000 - 17999 ($),0-1,No,19%,Excellent,High,0%,0-5 years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,100 - 199 ($),Sales,0-4 km,Bachelor,Life Sciences,Low,Male,70 - 79 ($),High,Mid Level,Sales Executive,High,Divorced,10000 - 10999 ($),8000 - 9999 ($),0-1,No,12%,Excellent,High,2%,10-20 years,6,Good,10++,6-10 years,2-5 years,10++
28 - 43 (Millennials),Stay,Non-Travel,1200 - 1299 ($),Sales,5-9 km,Master,Technical Degree,Low,Male,80 - 89 ($),High,Junior Level,Sales Executive,Very High,Divorced,5000 - 5999 ($),24000 - 25999 ($),2-3,No,13%,Excellent,Very High,2%,10-20 years,3,Better,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1100 - 1199 ($),Research & Development,5-9 km,College,Other,Very High,Female,40 - 49 ($),Medium,Entry Level,Laboratory Technician,High,Married,3000 - 3999 ($),16000 - 17999 ($),0-1,No,11%,Excellent,Medium,1%,20+ years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,1000 - 1099 ($),Research & Development,5-9 km,Bachelor,Medical,Low,Female,40 - 49 ($),High,Entry Level,Laboratory Technician,Low,Single,4000 - 4999 ($),10000 - 11999 ($),4-5,No,22%,Outstanding,Low,0%,6-10 years,2,Best,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1300 - 1399 ($),Sales,0-4 km,Master,Life Sciences,Very High,Female,40 - 49 ($),Medium,Junior Level,Sales Executive,High,Married,5000 - 5999 ($),14000 - 15999 ($),2-3,No,14%,Excellent,High,1%,10-20 years,1,Best,10++,10++,2-5 years,6-10 years
28 - 43 (Millennials),Leave,Travel_Frequently,1000 - 1099 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Low,Male,70 - 79 ($),High,Entry Level,Research Scientist,Low,Single,3000 - 3999 ($),2000 - 3999 ($),0-1,Yes,11%,Excellent,Low,0%,6-10 years,3,Better,6-10 years,6-10 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,15-19 km,Bachelor,Medical,High,Female,80 - 89 ($),High,Junior Level,Manufacturing Director,High,Divorced,4000 - 4999 ($),26000 - 27999 ($),2-3,No,14%,Excellent,High,1%,10-20 years,5,Good,6-10 years,6-10 years,0-1 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1100 - 1199 ($),Sales,10-14 km,Bachelor,Marketing,High,Female,90 - 100 ($),Medium,Mid Level,Sales Executive,Very High,Married,9000 - 9999 ($),10000 - 11999 ($),2-3,Yes,19%,Excellent,High,1%,10-20 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,200 - 299 ($),Research & Development,5-9 km,Bachelor,Medical,Very High,Male,50 - 59 ($),High,Entry Level,Laboratory Technician,Low,Single,4000 - 4999 ($),2000 - 3999 ($),2-3,Yes,13%,Excellent,High,0%,10-20 years,3,Better,10++,10++,2-5 years,10++
12 - 27 (Gen Z),Leave,Travel_Rarely,500 - 599 ($),Sales,5-9 km,Below College,Medical,High,Male,50 - 59 ($),High,Entry Level,Sales Representative,Low,Single,2000 - 2999 ($),24000 - 25999 ($),0-1,Yes,11%,Excellent,Very High,0%,0-5 years,6,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,100 - 199 ($),Human Resources,0-4 km,Bachelor,Human Resources,High,Female,40 - 49 ($),Very High,Junior Level,Human Resources,Medium,Married,6000 - 6999 ($),18000 - 19999 ($),4-5,No,15%,Excellent,High,1%,10-20 years,3,Bad,6-10 years,2-5 years,2-5 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Frequently,600 - 699 ($),Human Resources,0-4 km,Doctor,Human Resources,Low,Male,30 - 39 ($),High,Junior Level,Human Resources,Very High,Married,5000 - 5999 ($),10000 - 11999 ($),2-3,Yes,11%,Excellent,High,0%,10-20 years,3,Better,6-10 years,6-10 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Non-Travel,1300 - 1399 ($),Sales,15-19 km,Bachelor,Marketing,Low,Male,60 - 69 ($),Very High,Junior Level,Sales Executive,Very High,Single,5000 - 5999 ($),4000 - 5999 ($),4-5,Yes,13%,Excellent,Medium,0%,6-10 years,3,Good,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,5-9 km,Master,Life Sciences,Low,Female,50 - 59 ($),High,Mid Level,Research Director,Medium,Single,11000 - 11999 ($),20000 - 21999 ($),0-1,No,11%,Excellent,High,0%,10-20 years,4,Better,10++,6-10 years,2-5 years,10++
28 - 43 (Millennials),Stay,Travel_Rarely,100 - 199 ($),Sales,15-19 km,Master,Marketing,Medium,Male,70 - 79 ($),High,Senior Level,Sales Executive,Low,Single,13000 - 13999 ($),24000 - 25999 ($),0-1,No,12%,Excellent,Low,0%,20+ years,3,Better,10++,6-10 years,10++,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,100 - 199 ($),Sales,10-14 km,Below College,Marketing,Very High,Female,30 - 39 ($),Medium,Junior Level,Sales Executive,Medium,Divorced,8000 - 8999 ($),10000 - 11999 ($),0-1,Yes,14%,Excellent,Low,2%,6-10 years,2,Better,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,200 - 299 ($),Research & Development,20-24 km,Bachelor,Life Sciences,Medium,Male,60 - 69 ($),Very High,Entry Level,Research Scientist,Low,Married,3000 - 3999 ($),22000 - 23999 ($),0-1,Yes,12%,Excellent,Low,1%,6-10 years,3,Good,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1200 - 1299 ($),Research & Development,5-9 km,Below College,Life Sciences,Very High,Male,30 - 39 ($),Very High,Entry Level,Laboratory Technician,Very High,Married,2000 - 2999 ($),4000 - 5999 ($),0-1,No,19%,Excellent,Very High,0%,0-5 years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,600 - 699 ($),Research & Development,0-4 km,Master,Medical,Very High,Male,90 - 100 ($),High,Mid Level,Healthcare Representative,Low,Divorced,9000 - 9999 ($),12000 - 13999 ($),4-5,No,16%,Excellent,High,1%,10-20 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Leave,Travel_Frequently,700 - 799 ($),Sales,25-29 km ,College,Life Sciences,Medium,Female,70 - 79 ($),Very High,Junior Level,Sales Executive,High,Single,6000 - 6999 ($),10000 - 11999 ($),2-3,Yes,12%,Excellent,Very High,0%,6-10 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,1000 - 1099 ($),Research & Development,5-9 km,Master,Life Sciences,Medium,Male,70 - 79 ($),Medium,Entry Level,Research Scientist,Very High,Divorced,3000 - 3999 ($),2000 - 3999 ($),4-5,No,12%,Excellent,Medium,1%,6-10 years,3,Good,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1100 - 1199 ($),Research & Development,25-29 km ,Master,Life Sciences,High,Female,90 - 100 ($),High,Entry Level,Research Scientist,Very High,Divorced,2000 - 2999 ($),26000 - 27999 ($),2-3,No,22%,Outstanding,Low,1%,10-20 years,1,Better,6-10 years,2-5 years,0-1 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1200 - 1299 ($),Research & Development,25-29 km ,Below College,Medical,Very High,Male,70 - 79 ($),Very High,Entry Level,Laboratory Technician,High,Married,3000 - 3999 ($),2000 - 3999 ($),0-1,Yes,11%,Excellent,High,3%,10-20 years,3,Better,10++,6-10 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1400 - 1499 ($),Sales,5-9 km,Below College,Life Sciences,Medium,Female,70 - 79 ($),High,Junior Level,Sales Executive,High,Married,5000 - 5999 ($),4000 - 5999 ($),0-1,No,20%,Outstanding,Low,0%,6-10 years,3,Good,6-10 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,300 - 399 ($),Research & Development,20-24 km,Master,Medical,Very High,Male,90 - 100 ($),High,Junior Level,Manufacturing Director,High,Married,6000 - 6999 ($),20000 - 21999 ($),0-1,Yes,15%,Excellent,Very High,2%,6-10 years,3,Good,6-10 years,2-5 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,200 - 299 ($),Research & Development,5-9 km,Bachelor,Life Sciences,Low,Male,90 - 100 ($),Medium,Junior Level,Healthcare Representative,High,Single,4000 - 4999 ($),12000 - 13999 ($),2-3,No,13%,Excellent,Very High,0%,10-20 years,0,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,700 - 799 ($),Sales,0-4 km,Master,Other,Very High,Male,50 - 59 ($),High,Junior Level,Sales Executive,Low,Single,5000 - 5999 ($),20000 - 21999 ($),4-5,No,13%,Excellent,Very High,0%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,800 - 899 ($),Research & Development,0-4 km,Bachelor,Life Sciences,High,Male,30 - 39 ($),High,Senior Level,Manager,High,Single,15000 - 15999 ($),22000 - 23999 ($),2-3,No,14%,Excellent,Low,0%,20+ years,2,Better,6-10 years,6-10 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,5-9 km,Master,Other,High,Female,70 - 79 ($),High,Junior Level,Healthcare Representative,High,Divorced,4000 - 4999 ($),2000 - 3999 ($),2-3,Yes,14%,Excellent,Very High,0%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,200 - 299 ($),Sales,20-24 km,Master,Life Sciences,Very High,Male,70 - 79 ($),Very High,Junior Level,Sales Executive,Very High,Single,5000 - 5999 ($),18000 - 19999 ($),0-1,No,12%,Excellent,Very High,0%,6-10 years,3,Better,6-10 years,6-10 years,2-5 years,6-10 years
60 - 78 (Baby Boomers),Stay,Travel_Rarely,600 - 699 ($),Sales,5-9 km,Master,Marketing,Medium,Male,50 - 59 ($),Very High,Junior Level,Sales Executive,Very High,Divorced,5000 - 5999 ($),10000 - 11999 ($),0-1,Yes,18%,Excellent,Medium,1%,10-20 years,3,Better,10++,6-10 years,0-1 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,200 - 299 ($),Research & Development,5-9 km,Master,Other,High,Female,50 - 59 ($),High,Entry Level,Laboratory Technician,Low,Married,2000 - 2999 ($),16000 - 17999 ($),4-5,No,13%,Excellent,High,0%,10-20 years,2,Bad,2-5 years,2-5 years,0-1 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Rarely,1200 - 1299 ($),Research & Development,5-9 km,Below College,Medical,Very High,Male,60 - 69 ($),Medium,Entry Level,Research Scientist,Very High,Married,2000 - 2999 ($),26000 - 27999 ($),0-1,No,11%,Excellent,High,2%,0-5 years,2,Better,2-5 years,2-5 years,2-5 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,700 - 799 ($),Sales,0-4 km,Master,Marketing,Medium,Female,80 - 89 ($),High,Executive Level,Manager,Low,Single,18000 - 18999 ($),22000 - 23999 ($),2-3,No,12%,Excellent,Very High,0%,20+ years,2,Good,2-5 years,2-5 years,2-5 years,0-1 years
12 - 27 (Gen Z),Stay,Non-Travel,800 - 899 ($),Sales,10-14 km,College,Life Sciences,Very High,Female,70 - 79 ($),High,Entry Level,Sales Representative,Medium,Married,2000 - 2999 ($),6000 - 7999 ($),0-1,No,13%,Excellent,High,1%,0-5 years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1000 - 1099 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Low,Female,90 - 100 ($),High,Entry Level,Research Scientist,Very High,Divorced,3000 - 3999 ($),4000 - 5999 ($),0-1,No,15%,Excellent,Low,3%,0-5 years,5,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Frequently,100 - 199 ($),Sales,0-4 km,Bachelor,Marketing,Low,Male,50 - 59 ($),High,Junior Level,Sales Executive,Medium,Single,9000 - 9999 ($),8000 - 9999 ($),0-1,No,18%,Excellent,High,0%,6-10 years,5,Better,6-10 years,6-10 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,100 - 199 ($),Research & Development,10-14 km,College,Life Sciences,Low,Male,60 - 69 ($),High,Entry Level,Research Scientist,Very High,Married,2000 - 2999 ($),8000 - 9999 ($),2-3,No,21%,Outstanding,Very High,2%,6-10 years,3,Good,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,800 - 899 ($),Sales,5-9 km,Master,Marketing,Very High,Female,70 - 79 ($),High,Junior Level,Sales Executive,Low,Divorced,4000 - 4999 ($),12000 - 13999 ($),4-5,No,14%,Excellent,Medium,2%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
